min_recall,equal_opportunity,accuracy,precision,recall,demographic_parity,recall_group_ Amer-Indian-Eskimo,recall_group_ Asian-Pac-Islander,recall_group_ Black,recall_group_ Other,recall_group_ White,member,split,model_type,dataset,iteration
0.3333333333333333,0.36666666666666664,0.871145233525272,0.769182782283219,0.6593582887700534,0.21712864250177685,0.7,0.6285714285714286,0.6,0.3333333333333333,0.6652868125369604,0,validation,,adult,1
0.5555555555555556,0.12186379928315405,0.8578374920025592,0.7358607830950901,0.6331550802139038,0.15465918895599656,0.5555555555555556,0.6774193548387096,0.5888888888888889,0.6,0.6343896713615024,1,validation,,adult,1
0.4,0.23953488372093024,0.8669225847728727,0.7680878552971576,0.6358288770053476,0.16851083448593823,0.4,0.6086956521739131,0.6395348837209303,0.4444444444444444,0.6391509433962265,2,validation,,adult,1
0.4,0.29230769230769227,0.8610364683301344,0.7532299741602068,0.6235294117647059,0.16143826820766832,0.4,0.6666666666666666,0.5217391304347826,0.6923076923076923,0.6281823564239195,3,validation,,adult,1
0.2,0.43481828839390385,0.8629383158433581,0.7595841455490578,0.6251336898395722,0.19365737996443388,0.2,0.6166666666666667,0.4842105263157895,0.5,0.6348182883939039,4,validation,,adult,1
0.3,0.3585365853658537,0.8683456183456183,0.8724309000708718,0.5267436884895165,0.17101202079272254,0.45454545454545453,0.6585365853658537,0.40707964601769914,0.3,0.5294672324375295,0,test,individual,adult,1
0.3,0.21219512195121953,0.8554463554463555,0.840825350036846,0.48823277706461277,0.1282488628979857,0.36363636363636365,0.5121951219512195,0.36283185840707965,0.3,0.4955209806694955,1,test,individual,adult,1
0.2727272727272727,0.32483370288248337,0.8691646191646192,0.8742049469964664,0.5293110825845101,0.16216405375139978,0.2727272727272727,0.5975609756097561,0.46017699115044247,0.4,0.5322960867515323,2,test,individual,adult,1
0.2727272727272727,0.23946784922394682,0.8524774774774775,0.8404255319148937,0.47325631151048353,0.12520996640537513,0.2727272727272727,0.5121951219512195,0.34513274336283184,0.3,0.48043375766148044,3,test,individual,adult,1
0.3893805309734513,0.22037556658752427,0.8673218673218673,0.873653984206748,0.5207531022678648,0.14550844704353477,0.45454545454545453,0.6097560975609756,0.3893805309734513,0.4,0.5252239509665252,4,test,individual,adult,1
